Faction,Influence,Faction State,Last Time Updated
Lumaragro League,12.3,None,2017-05-31 17:40:40
Lumaragro Galactic Commodities,1.7,None,2017-05-31 17:40:40
Lumaragro Dominion,9.4,None,2017-05-31 17:40:40
Canonn,76.6,Boom,2017-05-31 17:40:40
