Faction,Influence,Faction State,Last Time Updated
Canonn,61.7,Boom,2017-05-29 20:40:00
Lumaragro Galactic Commodities,16.7,None,2017-05-29 20:40:00
Lumaragro Dominion,16.7,None,2017-05-29 20:40:00
Lumaragro Purple Crew,4.9,None,2017-05-29 20:40:00
