Date,Canonn Deep Space Research,Colonia Council,Ed's 38,MOBIUS COLONIAL REPUBLIC NAVY,Privateer's Alliance Expeditionary Force
2017-06-03 02:06:08,0.998,6.487,18.7625,52.3952,21.3573
2017-06-04 01:49:05,7.7077,7.8078,19.7197,37.8378,26.9269
