Faction,Influence,Faction State,Last Time Updated
Lumaragro League,16.0839,None,2017-05-29 20:37:15
Lumaragro Galactic Commodities,2.2977,None,2017-05-29 20:37:15
Lumaragro Dominion,10.5894,None,2017-05-29 20:37:15
Canonn,71.029,Boom,2017-05-29 20:37:15
