Faction,Influence,Faction State,Last Time Updated
Othelkan Jet Allied Organisation,7.9,None,2017-05-31 17:42:39
Othelkan Pirates,2.7,None,2017-05-31 17:42:39
Othelkan Comms Corporation,17.3,Boom,2017-05-31 17:42:39
Canonn,72.1,Boom,2017-05-31 17:42:39
