Faction,Influence,Faction State,Last Time Updated
Arine Values Party,16.7,None,2017-05-31 22:09:52
Nationals of Arine,1.0,None,2017-05-31 22:09:52
Arine Crimson Energy Corporation,2.8,Famine,2017-05-31 22:09:52
Justice Party of Arine,1.6,None,2017-05-31 22:09:52
Coalition of Masai,5.0,None,2017-05-31 22:09:52
Canonn,69.0,Boom,2017-05-31 22:09:52
Meinjhalie Gold Galactic Dev,3.9,Boom,2017-05-31 22:09:52
