Faction,Influence,Faction State,Last Time Updated
Movement for Chacobog for Equality,4.9,Boom,2017-05-30 23:48:20
Chacobog Jet State Inc,5.6,None,2017-05-30 23:48:20
Mafia of Chacobog,1.4,Boom,2017-05-30 23:48:20
Chacobog Defence Party,3.6,Boom,2017-05-30 23:48:20
Clan of Chacobog,1.4,Boom,2017-05-30 23:48:20
Canonn,78.1,Boom,2017-05-30 23:48:20
Coalition of HIP 114099,5.0,Boom,2017-05-30 23:48:20
