Faction,Influence,Faction State,Last Time Updated
Movement for Chacobog for Equality,6.8,Boom,2017-05-31 21:07:13
Chacobog Jet State Inc,4.7,None,2017-05-31 21:07:13
Mafia of Chacobog,1.4,Boom,2017-05-31 21:07:13
Chacobog Defence Party,3.6,Boom,2017-05-31 21:07:13
Clan of Chacobog,2.1,Boom,2017-05-31 21:07:13
Canonn,77.2,Boom,2017-05-31 21:07:13
Coalition of HIP 114099,4.2,Boom,2017-05-31 21:07:13
