Faction,Influence,Faction State,Last Time Updated
Aknango Inc,8.2917,None,2017-06-02 17:13:13
People's Aknango Labour Union,8.2917,Boom,2017-06-02 17:13:13
Aknango Hand Gang,0.999,None,2017-06-02 17:13:13
Constitution Party of Aknango,6.7932,Famine,2017-06-02 17:13:13
Canonn,58.1419,Expansion,2017-06-02 17:13:13
Movement for Chacobog for Equality,6.6933,None,2017-06-02 17:13:13
Arine Values Party,10.7892,None,2017-06-02 17:13:13
