Faction,Influence,Faction State,Last Time Updated
Coalition of HIP 114099,20.7207,Boom,2017-05-29 20:33:49
HIP 114099 PLC,12.8128,Boom,2017-05-29 20:33:49
Crew of HIP 114099,12.8128,None,2017-05-29 20:33:49
Movement for Chacobog for Equality,14.3143,Boom,2017-05-29 20:33:49
New Su Li Er League,2.6026,Boom,2017-05-29 20:33:49
Canonn,36.7367,Boom,2017-05-29 20:33:49
