Faction,Influence,Faction State,Last Time Updated
Diabozo Republic Party,12.5,None,2017-05-31 17:39:41
Diabozo Central Group,10.1,Boom,2017-05-31 17:39:41
Diabozo aristocrats,3.4,None,2017-05-31 17:39:41
Diabozo Natural Limited,4.0,None,2017-05-31 17:39:41
Canonn,70.0,Boom,2017-05-31 17:39:41
