Date,Canonn Deep Space Research,Colonia Council,Colonists of Aurora,Explorers' Nation,Jaques,Societas Eruditorum de Civitas Dei,The Winged Hussars Colonia Initiative
2017-06-02 21:19:05,0.9911,4.7572,8.1269,4.2616,1.3875,60.2577,20.218
2017-06-04 00:46:19,6.8931,7.4925,14.6853,3.3966,1.6983,49.8502,15.984
