Faction,Influence,Faction State,Last Time Updated
Cauan Tzu Life Solutions,1.0,None,2017-05-31 17:46:18
Cauan Tzu Stakeholders,17.7,None,2017-05-31 17:46:18
Canonn,81.3,Boom,2017-05-31 17:46:18
