Faction,Influence,Faction State,Last Time Updated
Othelkan Jet Allied Organisation,7.9,None,2017-05-29 20:38:10
Othelkan Pirates,2.7,None,2017-05-29 20:38:10
Othelkan Comms Corporation,17.3,None,2017-05-29 20:38:10
Canonn,72.1,Boom,2017-05-29 20:38:10
