Faction,Influence,Faction State,Last Time Updated
Colonia Council,20.2393,Boom,2017-06-04 01:26:31
Explorers' Nation,7.4776,Boom,2017-06-04 01:26:31
Canonn Deep Space Research,30.8076,Boom,2017-06-04 01:26:31
Edge Fraternity,0.997,Boom,2017-06-04 01:26:31
Colonists of Aurora,40.4786,Boom,2017-06-04 01:26:31
