Faction,Influence,Faction State,Last Time Updated
Union of Undalibaluf Unionists,0.998,War,2017-05-30 11:05:46
Undalibaluf Silver Legal Systems,2.7944,None,2017-05-30 11:05:46
Undalibaluf Nobles,7.5848,Civil War,2017-05-30 11:05:46
Gang of Undalibaluf,10.978,Civil War,2017-05-30 11:05:46
Canonn,75.7485,Boom,2017-05-30 11:05:46
HIP 112970 Gold Major Inc,1.8962,War,2017-05-30 11:05:46
