Faction,Influence,Faction State,Last Time Updated
Cauan Tzu Life Solutions,0.9901,Civil War,2017-05-29 20:03:11
Cauan Tzu Stakeholders,19.3069,Civil War,2017-05-29 20:03:11
Canonn,79.703,Boom,2017-05-29 20:03:11
