Date,Canonn Deep Space Research,Colonia Council,Colonists of Aurora,Explorers' Nation,Jaques,Privateer's Alliance Expeditionary Force,Societas Eruditorum de Civitas Dei
2017-06-02 23:02:01,43.1138,7.984,7.984,3.2934,0.998,18.4631,18.1637
2017-06-04 01:28:07,51.9481,7.6923,7.1928,2.4975,1.998,14.7852,13.8861
