Faction,Influence,Faction State,Last Time Updated
HIP 112970 Gold Major Inc,20.2,Boom,2017-06-03 11:56:42
Movement for Chacobog for Equality,18.4,None,2017-06-03 11:56:42
HIP 112970 Fortune Company,1.4,None,2017-06-03 11:56:42
11 Cephei Energy Network,8.2,None,2017-06-03 11:56:42
HIP 112970 Pro-Independent Party,14.2,None,2017-06-03 11:56:42
Canonn,37.6,Expansion,2017-06-03 11:56:42
