Faction,Influence,Faction State,Last Time Updated
Canonn Deep Space Research,51.9481,Boom,2017-06-04 01:28:07
Colonia Council,7.6923,Boom,2017-06-04 01:28:07
Jaques,1.998,Retreat,2017-06-04 01:28:07
Societas Eruditorum de Civitas Dei,13.8861,None,2017-06-04 01:28:07
Colonists of Aurora,7.1928,Boom,2017-06-04 01:28:07
Privateer's Alliance Expeditionary Force,14.7852,Boom,2017-06-04 01:28:07
Explorers' Nation,2.4975,Boom,2017-06-04 01:28:07
