Faction,Influence,Faction State,Last Time Updated
Ed's 38,63.0069,Boom,2017-06-04 01:34:12
Colonia Council,7.5173,Boom,2017-06-04 01:34:12
Smiling Dingo Crew,5.0445,Boom,2017-06-04 01:34:12
Canonn Deep Space Research,1.7804,Boom,2017-06-04 01:34:12
MOBIUS COLONIAL REPUBLIC NAVY,18.1009,War,2017-06-04 01:34:12
Colonia Co-operative,3.5608,Retreat,2017-06-04 01:34:12
Radio Sidewinder Galactic,0.9891,War,2017-06-04 01:34:12
