Faction,Influence,Faction State,Last Time Updated
Unified Popon,17.6823,Boom,2017-05-31 18:22:23
Arine Values Party,35.8641,None,2017-05-31 18:22:23
Movement for Chacobog for Equality,8.2917,Boom,2017-05-31 18:22:23
Canonn,38.1618,Boom,2017-05-31 18:22:23
