Faction,Influence,Faction State,Last Time Updated
Societas Eruditorum de Civitas Dei,49.8502,None,2017-06-04 00:46:19
Colonia Council,7.4925,Boom,2017-06-04 00:46:19
Canonn Deep Space Research,6.8931,Boom,2017-06-04 00:46:19
The Winged Hussars Colonia Initiative,15.984,Boom,2017-06-04 00:46:19
Colonists of Aurora,14.6853,Boom,2017-06-04 00:46:19
Explorers' Nation,3.3966,Boom,2017-06-04 00:46:19
Jaques,1.6983,Retreat,2017-06-04 00:46:19
