Faction,Influence,Faction State,Last Time Updated
Canonn,65.6,Expansion,2017-06-02 17:13:13
Lumaragro Galactic Commodities,15.0,None,2017-06-02 17:13:13
Lumaragro Dominion,15.0,Boom,2017-06-02 17:13:13
Lumaragro Purple Crew,4.4,Boom,2017-06-02 17:13:13
