Faction,Influence,Faction State,Last Time Updated
Ix Chodharr Dominion,5.2,None,2017-05-31 17:45:25
Ix Chodharr Major Organisation,13.4,Civil War,2017-05-31 17:45:25
Ix Chodharr Jet Crew,14.5,Civil War,2017-05-31 17:45:25
Canonn,66.9,Boom,2017-05-31 17:45:25
