Faction,Influence,Faction State,Last Time Updated
Arine Values Party,16.6833,Boom,2017-05-31 00:23:41
Nationals of Arine,0.999,None,2017-05-31 00:23:41
Arine Crimson Energy Corporation,2.7972,Famine,2017-05-31 00:23:41
Justice Party of Arine,1.5984,None,2017-05-31 00:23:41
Coalition of Masai,4.995,None,2017-05-31 00:23:41
Canonn,69.031,Boom,2017-05-31 00:23:41
Meinjhalie Gold Galactic Dev,3.8961,Boom,2017-05-31 00:23:41
