Date,Canonn Deep Space Research,Colonia Council,Colonists of Aurora,Edge Fraternity,Explorers' Nation
2017-06-02 14:40:18,35.964,12.5874,39.96,0.999,10.4895
2017-06-04 01:26:31,30.8076,20.2393,40.4786,0.997,7.4776
