Date,Arine Values Party,Canonn,Movement for Chacobog for Equality,Unified Popon
2017-05-27 22:49:05,19.5804,58.4416,4.7952,17.1828
2017-05-29 20:34:44,33.5,43.1,4.2,19.2
2017-05-31 18:22:23,35.8641,38.1618,8.2917,17.6823
2017-06-01 21:28:02,35.8641,38.1618,8.2917,17.6823
2017-06-01 21:28:02,35.8641,38.1618,8.2917,17.6823
2017-06-03 07:00:26,35.8641,38.1618,8.2917,17.6823
