Faction,Influence,Faction State,Last Time Updated
Canonn,93.9,Expansion,2017-06-03 01:02:28
Varati Independent Union,3.7,Boom,2017-06-03 01:02:28
Varati Blue Public Limited,2.4,Boom,2017-06-03 01:02:28
