Faction,Influence,Faction State,Last Time Updated
Canonn,91.2,Boom,2017-05-30 21:30:39
Varati Independent Union,6.8,Civil War,2017-05-30 21:30:39
Varati Blue Public Limited,2.0,Civil War,2017-05-30 21:30:39
