Date,Canonn Deep Space Research,Colonia Co-operative,Colonia Council,Ed's 38,MOBIUS COLONIAL REPUBLIC NAVY,Radio Sidewinder Galactic,Smiling Dingo Crew
2017-06-03 01:45:01,0.9901,3.2673,4.4554,65.2475,19.703,0.9901,5.3465
2017-06-04 01:34:12,1.7804,3.5608,7.5173,63.0069,18.1009,0.9891,5.0445
