Faction,Influence,Faction State,Last Time Updated
Ngundjedes Independent Consulate,26.9,None,2017-06-02 17:13:13
Unified Ngundjedes,11.4,Famine,2017-06-02 17:13:13
Canonn,61.7,Expansion,2017-06-02 17:13:13
