Faction,Influence,Faction State,Last Time Updated
Varati Independent Union,1.8,None,2017-06-01 00:43:36
Varati Blue Public Limited,1.8,None,2017-06-01 00:43:36
Labour of Varati,3.3,Boom,2017-06-01 00:43:36
Varati Ring,1.7,None,2017-06-01 00:43:36
Canonn,91.4,Boom,2017-06-01 00:43:36
